GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
employee-skills-sqlite-ejercicio,com.ejemplo.service,SkillService,0,58,0,0,0,13,0,11,0,11
employee-skills-sqlite-ejercicio,com.ejemplo.service,EmployeeService,5,53,0,0,1,12,1,10,1,10
employee-skills-sqlite-ejercicio,com.ejemplo.repository.sqlite,EmployeeSqliteRepository,0,29,0,0,0,7,0,6,0,6
employee-skills-sqlite-ejercicio,com.ejemplo.repository.sqlite,SQLiteConnectionManager,15,21,2,0,7,8,3,3,2,3
employee-skills-sqlite-ejercicio,com.ejemplo.repository.sqlite,SkillSqliteRepository,0,29,0,0,0,7,0,6,0,6
employee-skills-sqlite-ejercicio,com.ejemplo.repository.sqlite,SchemaRepository,47,0,0,0,15,0,2,0,2,0
employee-skills-sqlite-ejercicio,com.ejemplo.model,Rol,36,0,0,0,13,0,8,0,8,0
employee-skills-sqlite-ejercicio,com.ejemplo.model,Employee,67,45,6,0,14,14,13,7,10,7
employee-skills-sqlite-ejercicio,com.ejemplo.model,Category,26,0,0,0,10,0,6,0,6,0
employee-skills-sqlite-ejercicio,com.ejemplo.model,Skill,52,24,6,0,11,8,10,4,7,4
employee-skills-sqlite-ejercicio,com.ejemplo.app,Main,18,0,0,0,6,0,2,0,2,0
